Equipe
AC Ajaccio
AJ Auxerre
AS Lyon Duchère
AS Monaco
AS Nancy Lorraine
AS Saint-Étienne
Amiens SC
Angers SCO
Chamois Niortais
Clermont Foot 63
Dijon FCO
EA Guingamp
ESTAC Troyes
FC Annecy
FC Borgo
FC Bourg-Péronnas
FC Chambly
FC Lorient
FC Metz
FC Nantes
FC Sochaux
FC Sète
FC Villefranche Beaujolais
Girondins Bordeaux
Grenoble Foot 38
Havre AC
LB Châteauroux
Le Mans FC
Lille OSC
Montpellier HSC
Nîmes Olympique
OGC Nice
Olympique Lyonnais
Olympique Marseille
Paris FC
Paris Saint-Germain
Pau FC
RC Lens
RC Strasbourg
Red Star FC
Rodez AF
SC Bastia
SM Caen
SO Cholet
Stade Brestois 29
Stade Briochin
Stade Lavallois
Stade Rennais
Stade de Reims
Toulouse FC
US Avranches
US Boulogne
US Concarneau
US Créteil-Lusitanos
US Orléans
US Quevilly-Rouen
USL Dunkerque
Valenciennes FC
