rang,équipe,points,matches,wins,draws,losses,goals_for,goals_against,goal_diff
109,ASM Belfort,72,68,17,21,30,58,78,-20
110,US Colomiers,71,68,17,20,31,69,89,-20
111,Marignane Gignac,71,68,17,20,31,68,93,-25
112,ES Uzès Pont du Gard,66,72,15,21,36,56,108,-52
113,Le Puy Foot 43,64,66,14,22,30,68,101,-33
114,SC Aubagne Air Bel,54,38,15,9,14,50,44,6
115,Stade Poitevin,45,34,10,15,9,43,48,-5
116,Trélissac FC,43,38,9,16,13,46,57,-11
117,Gap FC,43,40,11,10,19,44,62,-18
118,Villemomble Sports,41,38,9,14,15,29,38,-9
119,ES Viry-Châtillon,39,38,8,15,15,36,51,-15
120,GOAL FC,38,34,10,8,16,43,47,-4
121,Saint-Denis Saint-Leu FC,38,34,9,11,14,32,42,-10
122,AS Évry,35,38,8,11,19,28,46,-18
123,Hyères FC,35,38,7,14,17,32,55,-23
124,US Roye,34,38,8,10,20,32,55,-23
125,AS Yzeure FC,32,38,7,11,20,45,69,-24
126,AS Saint-Priest,30,36,6,12,18,29,65,-36
127,UJA Alfortville,28,40,6,10,24,36,79,-43
128,JA Drancy,26,34,5,11,18,21,40,-19
129,Stade Beaucairois,17,38,3,8,27,26,79,-53
130,FC Fleury 91,10,6,3,1,2,9,4,5
